Question,Answer
What is cloud computing?,"Cloud computing is the delivery of computing services like storage, databases, and networking over the internet."
What are the benefits of cloud computing?,"Benefits include scalability, cost-efficiency, flexibility, accessibility, and disaster recovery."
Who are the major cloud service providers?,"The major cloud providers are Amazon Web Services (AWS), Microsoft Azure, and Google Cloud Platform (GCP)."
What are the characteristics of cloud computing?,"Key characteristics include on-demand self-service, broad network access, resource pooling, rapid elasticity, and measured service."
What is IaaS?,Infrastructure as a Service provides virtualized computing resources over the internet.
What is PaaS?,"Platform as a Service offers a platform allowing customers to develop, run, and manage applications."
What is SaaS?,"Software as a Service delivers software applications over the internet, usually on a subscription basis."
What is the difference between IaaS and PaaS?,"IaaS provides raw infrastructure, while PaaS offers a ready-to-use platform for application development."
Give an example of SaaS.,"Examples include Google Workspace, Dropbox, and Salesforce."
What is a public cloud?,"Public cloud is a cloud environment shared by multiple users, managed by third-party providers like AWS or Azure."
What is a private cloud?,Private cloud is a cloud infrastructure operated solely for a single organization.
What is a hybrid cloud?,A hybrid cloud combines public and private clouds to allow data and applications to be shared between them.
What is a community cloud?,"A community cloud is shared by several organizations with common concerns, such as security or compliance."
What is cloud storage?,Cloud storage allows you to save data on remote servers accessible via the internet.
What is a virtual machine?,A virtual machine is a software emulation of a physical computer.
What is block storage?,Block storage stores data in volumes and is commonly used for databases and applications.
What is object storage?,"Object storage manages data as objects, suitable for storing unstructured data like images and videos."
What is a virtual private cloud (VPC)?,A VPC is a private network within a public cloud that offers isolated resources.
What is a CDN?,A Content Delivery Network (CDN) delivers content to users with high availability and performance.
What is cloud security?,Cloud security involves technologies and policies to protect cloud data and infrastructure.
What is identity and access management (IAM)?,IAM controls who can access resources in the cloud and what actions they can perform.
What is data encryption in cloud?,Data encryption secures data by converting it into a coded format that is unreadable without a decryption key.
What is serverless computing?,Serverless computing allows developers to build applications without managing infrastructure.
What are containers?,Containers package software and its dependencies to run consistently across environments.
What is Kubernetes?,"Kubernetes is an open-source system for automating deployment, scaling, and management of containerized applications."
What is Docker?,"Docker is a platform for developing, shipping, and running applications in containers."
What is cloud monitoring?,"Cloud monitoring involves reviewing, observing, and managing operational workflows in a cloud environment."
What is auto-scaling?,Auto-scaling automatically adjusts computing resources based on demand.
What is load balancing?,Load balancing distributes incoming traffic across multiple servers to ensure high availability.
What is pay-as-you-go in cloud?,Pay-as-you-go means users only pay for the cloud resources they actually use.
What is cloud cost optimization?,Cloud cost optimization is the process of reducing cloud spending while maximizing performance.
What is DevOps?,DevOps is a set of practices that combines software development and IT operations.
What are CI/CD pipelines?,CI/CD pipelines automate the process of software delivery and deployment.
What is Infrastructure as Code (IaC)?,IaC allows managing and provisioning infrastructure through code.
What are some DevOps tools used in cloud?,"Common tools include Jenkins, Git, Docker, Kubernetes, and Terraform."
What are some use cases of cloud computing?,"Use cases include data storage, app hosting, big data analytics, and disaster recovery."
How is cloud used in education?,"Cloud enables e-learning platforms, data sharing, and virtual labs."
How is cloud used in healthcare?,"Cloud supports data storage, telemedicine, and electronic health records."
How is cloud computing used in startups?,"Startups use cloud for cost-effective infrastructure, scalability, and faster deployment."
